cpg,chr,pos
cg04702968,chr17,47117642
cg22234262,chr4,102837677
cg21460846,chr17,37441458
cg17375190,chr21,46416989
cg00258390,chr2,38187941
cg12094974,chr21,44903897
cg04650947,chr19,55038980
cg12172682,chr10,21524062
cg01542423,chr8,125655875
cg19183923,chr4,2875082
cg18477558,chr12,52399732
cg03577779,chr1,100486945
cg02974976,chr1,116534597
cg12010413,chr2,138094232
cg02205013,chr16,1708797
cg04950059,chr1,235397784
cg13240253,chr3,71196378
cg15921010,chr8,42290215
cg15356517,chr7,92764428
cg16497732,chr8,140395044
cg06247340,chr19,34681642
cg02959070,chr15,80114033
cg07895124,chr16,57565164
cg24240077,chr11,77863274
cg26684050,chr8,73601870
cg16467623,chr4,102788092
cg12247787,chr16,67131808
cg20911108,chr20,3192674
cg08723248,chr12,9134762
cg03669033,chr18,79252989
cg11315107,chr22,37969023
cg05037270,chr1,21177628
cg01070219,chr6,110646070
cg27167982,chr1,92709910
cg05916280,chr10,29927106
cg14407177,chr2,38070880
cg26942316,chr20,4684670
cg20386109,chr3,150418747
cg18186474,chr19,2276367
cg06545359,chr16,87995827
cg08266137,chr12,110388577
cg08095359,chr12,8447691
cg13443898,chr10,27232618
cg09056639,chr8,42449310
cg10387952,chr8,19310842
cg25104028,chr4,123072345
cg02467086,chr15,39785954
cg10561258,chr18,49023009
cg08625773,chr7,30331602
cg10762533,chr2,200891234
cg23463094,chr6,82211346
cg07967176,chr1,112943513
cg00276918,chr7,132783422
cg18765479,chr12,131941730
cg03093541,chr15,31161532
cg04243073,chr17,5395150
cg04015786,chr12,53018840
cg11694869,chr16,89041404
cg02268370,chr5,37210994
cg26108240,chr14,39177632
cg08739244,chr1,109629008
cg00977293,chr17,14091190
cg10652915,chr10,129046596
cg05017821,chr20,23365949
cg04526817,chr9,35704743
cg07917528,chr7,55344575
cg25914932,chr19,9856794
cg05577736,chr18,8766441
cg19721012,chr15,65119879
cg03415158,chr10,26716212
cg04240456,chr1,89290989
cg24165439,chr10,45472036
cg08383462,chr3,58496390
cg15397212,chr19,45577272
cg24701190,chr10,118914351
cg02162339,chr2,241709296
cg11457748,chr12,26823425
cg18153662,chr1,1255289
cg21615615,chr18,35252705
cg08351911,chr16,88883667
cg27448003,chr1,21115052
cg06852076,chr22,23840453
cg22790926,chr4,54024701
cg00811382,chr7,98192003
cg08663466,chr16,1675174
cg22271515,chr7,140926203
cg04697162,chr9,104913590
cg14432712,chr2,68019001
cg01047779,chr6,33210677
cg25452662,chr6,24843458
cg05254646,chr6,5783630
cg08510057,chr3,161231474
cg23798537,chr6,109359880
cg10061399,chr2,3680163
cg12752071,chr14,68535625
cg07916058,chr1,180675669
cg09382942,chr12,9127605
cg01789705,chr16,27489654
cg12244176,chr22,50371107
cg23006805,chr6,33269080
cg07461161,chr11,66343403
cg06849457,chr7,86920143
cg04885674,chr17,22521496
cg08017245,chr1,25113875
cg25684934,chr9,129878908
cg24796507,chr4,169269160
cg16005240,chr11,32825934
cg15399941,chr12,94134762
cg08046471,chr4,76036973
cg14050824,chr9,137789345
cg22585301,chr15,59612636
cg19857151,chr1,235822154
cg18560316,chr5,126599602
cg24750433,chr11,128171887
cg12218895,chr20,3918293
cg17285378,chr5,154215208
cg03627468,chr16,79297862
cg23348793,chr14,88384505
cg16273075,chr1,13786735
cg00963029,chr22,19885343
cg20843080,chr12,120487793
cg03425726,chr2,240526411
cg26737079,chr16,11754016
cg14737320,chr19,58566434
cg14064302,chr17,35117026
cg08959108,chr3,41195129
cg04979876,chr7,28069742
cg09238886,chr16,4433575
cg04607326,chr19,49602033
cg20849928,chr1,150210350
cg03129962,chr6,158730541
cg21083189,chr2,218355374
cg09645699,chr3,12936043
cg06947754,chr16,12096359
cg14605001,chr3,44716481
cg02935950,chr8,125137648
cg15577302,chr5,74684591
cg05757062,chr16,84981793
cg07327326,chr3,179874377
cg04914804,chr5,103173227
cg13781700,chr19,15112467
cg17085844,chr1,23845184
cg13751455,chr17,50972639
cg10674450,chr20,35767332
cg10549641,chr7,99414202
cg25038600,chr19,57753902
cg12046522,chr8,47782726
cg07169296,chr6,38684406
cg12895304,chr13,100155241
cg01885824,chr2,65381004
cg10377414,chr17,82874960
cg26328502,chr13,30477280
cg05127636,chr1,25714146
cg26688079,chr7,54349234
cg06771021,chr12,124607970
cg06447570,chr5,1483467
cg21124795,chr3,49350080
cg10660674,chr6,45641326
cg00380642,chr2,43155779
cg01842624,chr4,138053814
cg14854493,chr3,196218221
cg23480820,chr19,3659795
cg16121384,chr12,118052442
cg09473763,chr3,112563837
cg03477621,chr17,9569421
cg22684507,chr1,176181568
cg00239272,chr13,113996569
cg02353754,chr22,50077040
cg23645550,chr2,74593972
cg01796511,chr11,32583312
cg13108197,chr16,72100577
cg03175849,chr11,31436723
cg27525876,chr16,89227837
cg16645453,chr14,65026120
cg16996613,chr10,74028983
cg19005380,chr5,141526310
cg08025444,chr4,25864333
cg06559287,chr1,198268253
cg23152041,chr2,68953747
cg16912836,chr6,156798804
cg24254730,chr16,16113063
cg01448265,chr1,110893613
cg00837060,chr14,22765066
cg21260288,chr15,69072880
cg11373806,chr6,5541498
cg09276568,chr17,57640535
cg14137606,chr1,46569869
cg25162729,chr7,37018959
cg02711159,chr8,142392170
cg03920512,chr17,58447875
cg24993345,chr19,37362928
cg26728407,chr20,60075529
cg11921952,chr11,449622
cg13502382,chr6,166779000
cg11575644,chr19,10354035
cg10502354,chr7,157609837
cg09541248,chr12,57049838
cg02804275,chr12,22375669
cg07314724,chr12,131758477
cg01538049,chr20,8299905
cg20900466,chr6,116546206
cg10018312,chr10,99965095
cg13404532,chr3,128764433
cg16160188,chr2,202409070
cg03863551,chr1,151437934
cg04018533,chr8,143945513
cg12711746,chr16,3875232
cg22121265,chr1,47253856
cg01345501,chr6,16237689
cg02562734,chr14,69633545
cg02835481,chr6,33258871
cg16077168,chr21,45778463
cg03226187,chr2,12967229
cg13267631,chr3,15267702
cg26220781,chr12,31502042
cg27228993,chr5,78056901
cg27413230,chr13,113274695
cg08771073,chr10,101534591
cg14329508,chr20,18187645
cg24096854,chr2,171510541
cg10111694,chr12,30930653
cg00667661,chr7,102430164
cg24265837,chr22,17267992
cg09492087,chr15,44319083
cg14317321,chr6,29732913
cg12593873,chr1,26784671
cg02087496,chr10,28280716
cg14486846,chr9,121685010
cg00463239,chr1,54780540
cg04503093,chr7,128023044
cg13339708,chr4,184628213
cg12734024,chr6,2030403
cg09224029,chr9,127276567
cg01454148,chr17,7225836
cg26421308,chr11,86951998
cg06045123,chr16,50319092
cg16177541,chr18,10717476
cg17255368,chr12,56317902
cg10374402,chr10,80540844
cg10047019,chr8,21965439
cg22281363,chr8,53986480
cg06187356,chr20,64106857
cg21484869,chr10,50344301
cg22178654,chr19,21852691
cg22466400,chr7,4732746
cg01089583,chr3,11130754
cg00872779,chr20,47569736
cg02008951,chr19,5703608
cg23800812,chr15,34040416
cg04685158,chr1,16271864
cg17058797,chr20,25201251
cg15441708,chr1,200909539
cg03572664,chr14,61077423
cg26116561,chr10,436120
cg04953411,chr20,34827018
cg00113195,chr1,27817612
cg09915762,chr16,89656699
cg01164141,chr5,56681641
cg06236445,chr22,46968424
cg03804475,chr5,150357063
cg00636082,chr4,94344114
cg02264057,chr7,40476970
cg12276117,chr20,18297890
cg23739547,chr14,102986179
cg13490832,chr20,58430867
cg03514395,chr6,118647301
cg12580687,chr1,153568363
cg23243191,chr7,98885099
cg23533734,chr15,31161540
cg03444911,chr3,121729956
cg12210305,chr2,85649191
cg11727921,chr1,1218938
cg17644896,chr11,82864907
cg04884611,chr3,101665620
cg15407900,chr14,45813914
cg15845964,chr7,66149475
cg11825970,chr12,62729751
cg03973866,chr1,15943734
cg12918934,chr11,116355657
cg08639801,chr3,47002496
cg09929567,chr14,75470086
cg18726664,chr6,5771569
cg06436325,chr17,31499747
cg24716664,chr11,1006121
cg06373726,chr2,222604481
cg09770583,chr17,47489304
cg01066310,chr15,42444542
cg18000568,chr10,95860453
cg18110741,chr14,63952549
cg13350958,chr14,34939025
cg09391998,chr11,113817801
cg00042994,chr20,37725709
cg19957506,chr6,160084587
cg20151045,chr17,37056814
cg08832702,chr11,94997739
cg05211227,chr11,22860439
cg06229737,chr6,34424001
cg08500128,chr12,10611071
cg05239538,chr19,35276874
cg17104441,chr2,64268854
cg13179058,chr7,138613905
cg15309667,chr12,49227940
cg23507051,chr4,853447
cg04110902,chr6,45533262
cg26143362,chr3,4717222
cg06957878,chr7,1086033
cg17215325,chr3,33688784
cg16746816,chr7,25069051
cg11398794,chr5,119610103
cg22737516,chr15,66708433
cg23782689,chr12,125891408
cg19382572,chr1,59299653
cg22299966,chr19,46303164
cg16556193,chr17,41982376
cg15768271,chr12,112137488
cg21614231,chr9,33266198
cg07531569,chr8,61651445
cg25729907,chr3,146545558
cg08786433,chr6,108655721
cg04070216,chr1,178452070
cg08866162,chr2,200871250
cg19309752,chr1,117152394
cg21145191,chr8,123342040
cg18004338,chr3,196515326
cg17276794,chr5,1473933
cg00133063,chr3,27366333
cg13336860,chr3,14181620
cg12284171,chr11,129944875
cg08442737,chr2,170985503
cg03722346,chr9,133978737
cg13629253,chr10,44985246
cg12336935,chr6,98910959
cg09757709,chr11,93731555
cg19035376,chr15,56798953
cg00471903,chr15,45152720
cg05297666,chr11,128530415
cg07139449,chr14,71687797
cg13445279,chr6,24423116
cg01488147,chr7,94664768
cg22058452,chr2,94996469
cg25397557,chr5,88271597
cg02860168,chr19,19351457
cg21014051,chr11,47247407
cg19496976,chr17,82393511
cg26937114,chr6,78866871
cg16579940,chr6,122729503
cg07927266,chr1,211418554
cg26670887,chr17,849258
cg12232926,chr10,77890275
cg09268874,chr1,84674652
cg25998584,chr5,151268159
cg25079802,chr20,53734557
cg10869641,chr6,169784737
cg19597021,chr18,63054658
cg13595333,chr17,17223384
cg13551841,chr9,137792692
cg08286107,chr20,47312508
cg01511600,chr2,68233629
cg06157950,chr7,1540284
cg13304521,chr12,109871833
cg02230349,chr2,241624902
cg14803869,chr12,130753137
cg24720215,chr1,153567563
cg05633147,chr1,110350156
cg27256295,chr17,78724228
cg04137126,chr6,110897026
cg26339062,chr16,32868477
cg10969416,chr1,93841958
cg05191962,chr8,38873850
cg22448874,chr4,50112
cg09982556,chr4,3062493
cg13107737,chr12,122404180
cg13866134,chr1,7509259
cg04188453,chr11,82921870
cg08345040,chr4,8606508
cg05503307,chr8,38288771
cg25136553,chr1,112456006
cg11694285,chr1,200290795
cg27212548,chr1,5928024
cg19790877,chr17,79975085
cg06526832,chr9,123586881
cg14515032,chr17,2996975
cg02797932,chr2,74442934
cg27614177,chr2,164839318
cg17655120,chr20,48970751
cg20061676,chr21,23403090
cg26231652,chr1,158187007
cg17229420,chr10,78685062
cg23004889,chr5,159761757
cg16109415,chr7,112480730
cg02815248,chr10,35493052
cg19444498,chr2,224558768
cg05264620,chr3,148837336
cg23238025,chr20,25037258
cg01672655,chr12,7155437
cg02062254,chr7,1621273
cg25214660,chr9,110193873
cg27280279,chr2,33595607
cg11709874,chr5,112777633
cg05316615,chr2,63886343
cg25011627,chr2,151186143
cg10325038,chr17,59139123
cg09761134,chr11,10508040
cg24740883,chr18,2577213
cg01082422,chr5,179797751
cg22192913,chr17,50379558
cg22258719,chr3,195074649
cg01968676,chr14,62636853
cg15772133,chr2,33360748
cg14520957,chr1,154207380
cg10556005,chr1,233332055
cg00819420,chr16,14545641
cg26332293,chr2,100047192
cg00107904,chr17,75902396
cg05564953,chr15,90966272
cg22954265,chr20,30285907
cg08778405,chr12,1026292
cg19861270,chr6,158922158
cg17078168,chr3,10309228
cg05024291,chr2,71349492
cg18991879,chr2,148947474
cg25385020,chr6,44524736
cg10600594,chr6,30208330
cg14515064,chr17,83063596
cg08472925,chr3,52301594
cg17234226,chr2,69238173
cg17166397,chr3,156552478
cg13972906,chr11,129849665
cg17574803,chr1,225562298
cg07511859,chr17,45405956
cg00864550,chr17,80081479
cg18634443,chr6,133987276
cg14703553,chr17,72667354
cg12698160,chr4,98665171
cg09943845,chr12,115199506
cg12391048,chr16,2720335
cg17865896,chr2,105103079
cg13953157,chr20,34302145
cg21141192,chr6,32198497
cg16106183,chr12,14315274
cg23353570,chr17,15950156
cg00025002,chr7,149490325
cg25683068,chr2,239193472
cg19290238,chr2,232899339
cg14952488,chr5,54525535
cg04898773,chr17,28267716
cg01700124,chr3,193903165
cg09322655,chr1,154571818
cg08825675,chr16,69120465
cg13400583,chr8,63023407
cg22683283,chr2,37148840
cg25977026,chr1,23020919
cg00248776,chr12,132131719
cg09616117,chr2,190150207
cg18088210,chr3,187669401
cg09474974,chr12,6560944
cg00689133,chr6,152995418
cg10892943,chr3,66400180
cg06953333,chr8,129983171
cg07275400,chr11,63821597
cg05307173,chr7,91229267
cg14451711,chr20,44632572
cg26990273,chr11,76037732
cg11730148,chr3,72441422
cg04383352,chr3,88138876
cg18797282,chr3,50349715
cg05076641,chr14,76087376
cg04597843,chr4,141328489
cg15481429,chr15,94402570
cg16168684,chr17,8851628
cg19144954,chr17,81478356
cg10120507,chr14,69190624
cg02928015,chr9,133636245
cg14978131,chr17,30631854
cg18240619,chr3,190641256
cg22288315,chr3,143782439
cg25075731,chr1,1795176
cg22406941,chr10,131940040
cg09031390,chr7,102218228
cg12759054,chr19,8414569
cg22150020,chr9,35090853
cg20278383,chr13,95433844
cg00669044,chr8,23531615
cg04512957,chr15,66347377
cg26871386,chr18,79754064
cg20700762,chr2,191244167
cg15014137,chr8,80814918
cg09083519,chr15,62204565
cg08606534,chr3,48873336
cg05858354,chr3,75786787
cg05289353,chr12,62534030
cg12460187,chr11,36296887
cg25056596,chr7,131096851
cg08119905,chr1,184711616
cg06692476,chr1,92924432
cg25556325,chr3,139343604
cg04012830,chr4,2092810
cg10506179,chr7,159092252
cg11300170,chr3,134537171
cg24721229,chr13,28729757
cg23192486,chr2,218547962
cg09018841,chr1,9081616
cg18555787,chr8,94512798
cg00570285,chr10,31809869
cg02298935,chr3,10351541
cg16245111,chr14,96284177
cg04420115,chr14,85982503
cg14189875,chr8,47778615
cg16917713,chr4,22339201
cg26461921,chr7,38727276
cg00756560,chr3,119230183
cg02002207,chr16,89847210
cg05672616,chr4,82753449
cg26479971,chr2,28873638
cg16413715,chr5,176869726
cg09737292,chr16,10076045
cg00761344,chr1,39638021
cg26412543,chr6,32161052
cg12124457,chr3,30527378
cg09932087,chr3,138472893
cg12929969,chr7,65745950
cg12804841,chr12,49269354
cg09553466,chr6,73157456
cg19132137,chr2,216426803
cg14549614,chr17,7385511
cg14344448,chr4,7940646
cg13332184,chr7,56100000
cg15808272,chr5,37575092
cg14885277,chr2,200351159
cg22145697,chr1,209778181
cg17358432,chr16,89769950
cg03335313,chr16,68630424
cg10201671,chr5,170347270
cg23515223,chr10,29556232
cg06701892,chr12,130958700
cg19800155,chr14,72877429
cg19606034,chr3,186078973
cg17263130,chr22,45833384
cg09833030,chr1,174873800
cg07878537,chr8,124304108
cg06192142,chr2,178013158
cg03475687,chr17,82870710
cg01288777,chr21,45282378
cg01002264,chr10,119378296
cg04525977,chr12,34209380
cg14129266,chr18,2576771
cg17560669,chr6,166539957
cg05549122,chr6,159468382
cg14001485,chr1,167923397
cg02885922,chr22,46682537
cg15362336,chr22,21044293
cg16843615,chr10,35176700
cg12031286,chr14,89632470
cg13167913,chr9,113208069
cg20486986,chr1,28105137
cg19222679,chr2,133553264
cg23628720,chr2,241255418
cg14790517,chr5,146105684
cg04987004,chr6,30069704
cg27262977,chr7,121379668
cg27568307,chr6,10617318
cg08277105,chr10,92248759
cg12705997,chr12,123110245
cg09688713,chr1,155395472
cg26523387,chr12,27751739
cg00385883,chr3,8766573
cg14461181,chr9,79757666
cg02810660,chr17,78496124
cg10124393,chr20,32675434
cg26889343,chr19,49788658
cg17592380,chr3,43455137
cg07309819,chr12,65931722
cg23572608,chr22,38445391
cg25994714,chr2,43884248
cg00587790,chr7,33216379
cg13973861,chr14,71091917
cg02775854,chr3,111677986
cg18192155,chr21,42838188
cg16590086,chr5,127036932
cg02152091,chr8,1322595
cg10066609,chr20,32696067
cg17758002,chr5,37704061
cg14707353,chr2,200600940
cg27515596,chr6,20790607
cg24832688,chr7,155253079
cg14104252,chr9,113501288
cg02824489,chr12,1638108
cg10034679,chr10,48885346
cg13104844,chr4,1262484
cg00548822,chr11,66311723
cg15241536,chr1,81557944
cg10354299,chr19,52430307
cg02188838,chr16,16118314
cg16231670,chr5,91293744
cg14327901,chr17,81849674
cg09761506,chr2,148058430
cg02589578,chr8,41545932
cg14906843,chr16,86531186
cg22612768,chr21,33907574
cg07038004,chr3,163878441
cg09048009,chr2,54988868
cg16666891,chr8,55764798
cg11800361,chr8,141452818
cg04950667,chr7,44579958
cg14708401,chr3,4673347
cg09840973,chr22,19797643
cg17527563,chr19,49115471
cg18442532,chr5,176289699
cg02286917,chr6,143999580
cg03228407,chr17,5489043
cg10789383,chr14,69667036
cg03753329,chr16,57661812
cg03601145,chr3,131028706
cg16224832,chr3,129867234
cg22209898,chr1,32939941
cg07593371,chr15,42427507
cg05342388,chr14,75010914
cg08763673,chr5,122817045
cg10156207,chr15,49314031
cg06756436,chr18,615936
cg24583704,chr13,20473532
cg25861389,chr16,86025171
cg06778767,chr7,75531464
cg06745566,chr2,106310646
cg11809614,chr1,169792905
cg09341027,chr16,58575203
cg24018045,chr2,233089474
cg25836499,chr12,130994507
cg08468392,chr2,67401382
cg18274984,chr1,10616519
cg01181782,chr14,73472863
cg18347050,chr3,153248189
cg12922524,chr5,142968328
cg04471375,chr16,58718261
cg08053504,chr17,2186895
cg13000555,chr12,104066677
cg14522360,chr13,46010432
cg16711239,chr19,44156174
cg17488052,chr1,77755652
cg27056880,chr5,66078550
cg18148780,chr6,78606131
cg00769845,chr1,34970103
cg05171682,chr3,100361274
cg00341966,chr12,133104642
cg23069052,chr10,100360455
cg18656341,chr10,103554367
cg23072571,chr19,53788724
cg15383847,chr21,42909640
cg08135966,chr17,18104331
cg25881014,chr6,31762400
cg13570658,chr9,92384074
cg20634573,chr2,96115668
cg19995964,chr18,52609269
cg25888017,chr11,72329473
cg18986717,chr6,90118681
cg02631153,chr1,3633082
cg20088477,chr3,71172433
cg13978096,chr16,72108265
cg06643080,chr11,70064463
cg10667437,chr4,183226048
cg05045144,chr2,25244134
cg12186939,chr6,30322481
cg04956719,chr16,15599532
cg10061722,chr6,2918182
cg07059636,chr19,3692093
cg01800146,chr5,177367798
cg02596499,chr7,131039924
cg19609099,chr12,121272968
cg05132838,chr1,205323087
cg08073764,chr3,100009347
cg19830534,chr3,53892657
cg25416336,chr5,135327310
cg16857275,chr8,41894673
cg16602332,chr2,26512541
cg02646794,chr7,36996630
cg13250318,chr16,786935
cg01560665,chr21,34864095
cg24370615,chr14,71212138
cg09529016,chr17,76944158
cg00358451,chr1,248847720
cg19153003,chr12,121260678
cg04289045,chr1,3858541
cg24970016,chr13,29927914
cg19684373,chr7,22866345
cg02561720,chr6,32846545
cg24661687,chr10,5597079
cg18971092,chr4,184785028
cg09720959,chr13,46616128
cg21805138,chr12,116717831
cg10415497,chr15,68053012
cg11817453,chr19,8399966
cg03080664,chr1,156879963
cg14863265,chr7,2761875
cg14701880,chr12,70334775
cg03706108,chr14,59263331
cg16044631,chr12,57311002
cg06448556,chr11,106059173
cg00427847,chr20,47658010
cg14041194,chr9,136908151
cg04545880,chr16,23384090
cg04392370,chr3,78870700
cg10988411,chr7,6565698
cg05022128,chr7,6592901
cg20727052,chr4,106303376
cg05096393,chr10,119806996
cg01367899,chr17,56884446
cg16534211,chr12,26919428
cg15725264,chr12,121259347
cg00543684,chr13,112998666
cg13903207,chr2,119691151
cg24823485,chr3,42584591
cg25162913,chr2,239391108
cg22241596,chr16,31201222
cg07965493,chr3,124601153
cg27625897,chr4,76140151
cg25898520,chr4,140924924
cg23122958,chr6,4056353
cg16587066,chr2,48617929
cg18016759,chr6,43578705
cg11905824,chr2,70102695
cg06007434,chr8,31177589
cg20845045,chr12,28452548
cg15261887,chr17,17161389
cg16575172,chr8,41282033
cg02767777,chr11,66254341
cg13244672,chr9,121311359
cg07916307,chr2,221423348
cg10710951,chr9,20280414
cg18355060,chr10,14925151
cg08874487,chr9,92987853
cg23465732,chr7,135653558
cg15295790,chr11,76545854
cg11151402,chr5,160393332
cg04983287,chr6,74596208
cg27512502,chr16,913994
cg18369033,chr4,127811573
cg22265452,chr2,212832307
cg04656757,chr16,81629754
cg02745719,chr5,112915379
cg01014113,chr8,143586471
cg09090988,chr17,16023618
cg16616330,chr2,97669391
cg22728128,chr1,111756869
cg13316375,chr1,44035267
cg10172887,chr6,170269504
cg08396444,chr14,76207085
cg24638453,chr6,37044940
cg10267872,chr2,239776541
cg01632040,chr13,106667612
cg02942066,chr8,9072516
cg07847482,chr16,66999258
cg10023624,chr3,196630332
cg22256865,chr3,113020676
cg26679589,chr12,112181817
cg00604859,chr17,45169923
cg27315303,chr5,90535494
cg07292334,chr3,49046576
cg06952288,chr10,419105
cg08858464,chr1,96717944
cg08743899,chr6,15517112
cg11295173,chr1,193029392
cg10626305,chr6,21801211
cg15391433,chr7,98949586
cg07363783,chr1,35601055
cg10369203,chr6,142929646
cg13700250,chr4,76781080
cg09510924,chr17,17956983
cg06958436,chr5,144480926
cg21167650,chr20,36669664
cg03664025,chr16,24804299
cg03811759,chr16,10343570
cg08096128,chr4,118767166
cg23123148,chr14,93222911
cg17022393,chr7,158957250
cg27305609,chr16,71637354
cg19345025,chr3,194198558
cg16035438,chr11,62357092
cg12640558,chr12,6722434
cg23446033,chr10,22591763
cg19489704,chr2,31285187
cg13634870,chr19,53141888
cg18416290,chr12,118186262
cg14809311,chr2,152701767
cg17686236,chr7,6405009
cg18307705,chr12,740956
cg21233757,chr15,40064229
cg15811736,chr1,4171076
cg25016844,chr12,108538992
